Date,Description,Amount
2024-01-01,Salary Credited,50000
2024-01-02,Swiggy Food Order,-450
2024-01-03,DMart Grocery,-3200
2024-01-04,Netflix Subscription,-649
2024-01-05,Ola Cab Booking,-280
2024-01-06,Zomato Food Order,-380
2024-01-07,Electricity Bill Payment,-1200
2024-01-08,Amazon Shopping,-2100
2024-01-09,Petrol Pump,-1500
2024-01-10,Medical Store,-560
2024-01-11,Swiggy Food Order,-320
2024-01-12,Mobile Recharge,-299
2024-01-13,Gym Membership,-1000
2024-01-14,Uber Cab,-350
2024-01-15,Freelance Payment Received,15000
2024-01-16,BigBasket Grocery,-2800
2024-01-17,Zomato Food Order,-520
2024-01-18,Movie Tickets BookMyShow,-600
2024-01-19,Electricity Bill Payment,-1100
2024-01-20,Amazon Shopping,-1800
2024-01-21,Swiggy Food Order,-410
2024-01-22,Petrol Pump,-1500
2024-01-23,Doctor Consultation,-500
2024-01-24,Ola Cab Booking,-220
2024-01-25,Zepto Grocery,-950
2024-01-26,Zomato Food Order,-290
2024-01-27,Spotify Subscription,-119
2024-01-28,Amazon Shopping,-3400
2024-01-29,Swiggy Food Order,-480
2024-01-30,Internet Bill,-799
2024-01-31,ATM Withdrawal,-5000
2024-02-01,Salary Credited,50000
2024-02-02,Zomato Food Order,-350
2024-02-03,BigBasket Grocery,-3100
2024-02-04,Uber Cab,-410
2024-02-05,Amazon Shopping,-1200
2024-02-06,Swiggy Food Order,-390
2024-02-07,Electricity Bill Payment,-1300
2024-02-08,Petrol Pump,-1500
2024-02-09,Medical Store,-780
2024-02-10,Gym Membership,-1000
2024-02-11,Zomato Food Order,-440
2024-02-12,Movie Tickets BookMyShow,-500
2024-02-13,Ola Cab Booking,-190
2024-02-14,Valentine Dinner,-2200
2024-02-15,Freelance Payment Received,12000
2024-02-16,DMart Grocery,-2900
2024-02-17,Swiggy Food Order,-360
2024-02-18,Netflix Subscription,-649
2024-02-19,Amazon Shopping,-4500
2024-02-20,Petrol Pump,-1500
2024-02-21,Mobile Recharge,-299
2024-02-22,Zomato Food Order,-310
2024-02-23,Doctor Consultation,-800
2024-02-24,Uber Cab,-380
2024-02-25,Zepto Grocery,-1100
2024-02-26,Swiggy Food Order,-420
2024-02-27,Spotify Subscription,-119
2024-02-28,Internet Bill,-799
2024-03-01,Salary Credited,50000
2024-03-02,Amazon Shopping,-2300
2024-03-03,Zomato Food Order,-480
2024-03-04,BigBasket Grocery,-3300
2024-03-05,Ola Cab Booking,-260
2024-03-06,Swiggy Food Order,-350
2024-03-07,Electricity Bill Payment,-1250
2024-03-08,Petrol Pump,-1500
2024-03-09,Medical Store,-430
2024-03-10,Gym Membership,-1000
2024-03-11,Zomato Food Order,-390
2024-03-12,Movie Tickets BookMyShow,-700
2024-03-13,Uber Cab,-300
2024-03-14,Amazon Shopping,-5600
2024-03-15,Freelance Payment Received,18000
2024-03-16,DMart Grocery,-2700
2024-03-17,Swiggy Food Order,-440
2024-03-18,Netflix Subscription,-649
2024-03-19,Holi Shopping,-3200
2024-03-20,Petrol Pump,-1500
2024-03-21,Mobile Recharge,-299
2024-03-22,Zomato Food Order,-510
2024-03-23,Doctor Consultation,-600
2024-03-24,Ola Cab Booking,-230
2024-03-25,Zepto Grocery,-880
2024-03-26,Swiggy Food Order,-370
2024-03-27,Spotify Subscription,-119
2024-03-28,Internet Bill,-799
2024-03-29,Amazon Shopping,-1900
2024-03-30,ATM Withdrawal,-3000
2024-03-31,Gym Membership,-1000
2024-04-01,Salary Credited,50000
2024-04-02,Zomato Food Order,-420
2024-04-03,BigBasket Grocery,-2600
2024-04-04,Uber Cab,-340
2024-04-05,Amazon Shopping,-2800
2024-04-06,Swiggy Food Order,-460
2024-04-07,Electricity Bill Payment,-1150
2024-04-08,Petrol Pump,-1500
2024-04-09,Medical Store,-670
2024-04-10,Gym Membership,-1000
